customer_id,customer_name,segment,city,state,region
CUST-00001,Abigail Davis,Corporate,Springfield,IL,Central
CUST-00002,Jordan Mitchell,Consumer,Phoenix,AZ,West
CUST-00003,Kendall Thomas,Consumer,San Diego,CA,West
CUST-00004,Reese Rodriguez,Home Office,Seattle,WA,West
CUST-00005,Henry Miller,Corporate,Miami,FL,South
CUST-00006,James Mitchell,Small Business,Miami,FL,South
CUST-00007,Joseph Wright,Corporate,Boston,MA,East
CUST-00008,Riley Nguyen,Home Office,Denver,CO,West
CUST-00009,Noah Williams,Corporate,Seattle,WA,West
CUST-00010,Jordan Garcia,Small Business,San Diego,CA,West
CUST-00011,Harper Anderson,Small Business,New York,NY,East
CUST-00012,Sophia Hill,Consumer,Tucson,AZ,West
CUST-00013,Jordan Scott,Small Business,Denver,CO,West
CUST-00014,Jamie Rivera,Home Office,Atlanta,GA,South
CUST-00015,Emily Hall,Consumer,Orlando,FL,South
CUST-00016,Isabella Clark,Corporate,Orlando,FL,South
CUST-00017,Reese Lewis,Consumer,Raleigh,NC,South
CUST-00018,Charlotte Moore,Home Office,Dallas,TX,Central
CUST-00019,Aria Smith,Consumer,Grand Rapids,MI,Central
CUST-00020,Grace Phillips,Consumer,Raleigh,NC,South
CUST-00021,Dakota Hall,Consumer,Seattle,WA,West
CUST-00022,Noah Perez,Corporate,Pittsburgh,PA,East
CUST-00023,Kendall Martinez,Home Office,Raleigh,NC,South
CUST-00024,Harper Carter,Small Business,Springfield,IL,Central
CUST-00025,Peyton Miller,Corporate,Minneapolis,MN,Central
CUST-00026,Riley Harris,Consumer,Los Angeles,CA,West
CUST-00027,Avery Thompson,Home Office,Atlanta,GA,South
CUST-00028,Anna Thompson,Corporate,St. Paul,MN,Central
CUST-00029,Amelia Taylor,Corporate,Seattle,WA,West
CUST-00030,Aria Williams,Consumer,Boston,MA,East
CUST-00031,Sebastian Robinson,Corporate,Seattle,WA,West
CUST-00032,Isabella Davis,Consumer,Miami,FL,South
CUST-00033,Aiden Harris,Home Office,Boston,MA,East
CUST-00034,Riley Scott,Corporate,Phoenix,AZ,West
CUST-00035,Hayden Green,Home Office,Tucson,AZ,West
CUST-00036,Evelyn White,Corporate,Sacramento,CA,West
CUST-00037,Mason Gonzalez,Consumer,Raleigh,NC,South
CUST-00038,Elijah Jones,Home Office,Philadelphia,PA,East
CUST-00039,Taylor Nelson,Corporate,San Francisco,CA,West
CUST-00040,Reese Roberts,Consumer,Grand Rapids,MI,Central
CUST-00041,Hayden Garcia,Corporate,Pittsburgh,PA,East
CUST-00042,Anna Anderson,Consumer,St. Paul,MN,Central
CUST-00043,David Miller,Home Office,Buffalo,NY,East
CUST-00044,Emerson Moore,Corporate,Boulder,CO,West
CUST-00045,Olivia Green,Home Office,Charlotte,NC,South
CUST-00046,Leah White,Consumer,Spokane,WA,West
CUST-00047,Dakota White,Consumer,Raleigh,NC,South
CUST-00048,Sage Wilson,Small Business,Dallas,TX,Central
CUST-00049,Daniel Moore,Home Office,Dallas,TX,Central
CUST-00050,Benjamin Baker,Consumer,Orlando,FL,South
CUST-00051,Emily Jones,Consumer,Tucson,AZ,West
CUST-00052,Amelia Green,Consumer,Los Angeles,CA,West
CUST-00053,Dakota Wright,Corporate,Phoenix,AZ,West
CUST-00054,Sebastian Thomas,Home Office,Boulder,CO,West
CUST-00055,Dakota Robinson,Home Office,Seattle,WA,West
CUST-00056,Emerson Moore,Corporate,Phoenix,AZ,West
CUST-00057,Nathan Green,Home Office,Cambridge,MA,East
CUST-00058,Benjamin Scott,Corporate,Orlando,FL,South
CUST-00059,Reese Baker,Consumer,Boston,MA,East
CUST-00060,Elliot Roberts,Corporate,Chicago,IL,Central
CUST-00061,Chloe Brown,Small Business,Detroit,MI,Central
CUST-00062,Reese Williams,Home Office,Charlotte,NC,South
CUST-00063,Aria Lee,Corporate,Denver,CO,West
CUST-00064,Finley Moore,Corporate,Springfield,IL,Central
CUST-00065,Casey Wilson,Small Business,Charlotte,NC,South
CUST-00066,Samuel Torres,Corporate,Dallas,TX,Central
CUST-00067,Matthew Rivera,Consumer,Pittsburgh,PA,East
CUST-00068,Elliot Wilson,Small Business,Sacramento,CA,West
CUST-00069,Emily Young,Home Office,Cambridge,MA,East
CUST-00070,Finley Adams,Consumer,Tucson,AZ,West
CUST-00071,Olivia Martinez,Corporate,Los Angeles,CA,West
CUST-00072,Drew Rodriguez,Consumer,Orlando,FL,South
CUST-00073,Logan Mitchell,Consumer,New York,NY,East
CUST-00074,Lucas Wright,Small Business,Sacramento,CA,West
CUST-00075,Drew Mitchell,Consumer,San Diego,CA,West
CUST-00076,Charlotte Ramirez,Home Office,San Diego,CA,West
CUST-00077,Joseph Nguyen,Consumer,Los Angeles,CA,West
CUST-00078,Finley White,Corporate,Cambridge,MA,East
CUST-00079,Reese Rodriguez,Consumer,Springfield,IL,Central
CUST-00080,Sophia Young,Home Office,Philadelphia,PA,East
CUST-00081,Riley Carter,Corporate,Denver,CO,West
CUST-00082,Morgan Davis,Corporate,Seattle,WA,West
CUST-00083,Cameron Green,Consumer,Chicago,IL,Central
CUST-00084,Dakota Gomez,Consumer,Boston,MA,East
CUST-00085,James Ramirez,Consumer,Raleigh,NC,South
CUST-00086,Amelia Jones,Consumer,Chicago,IL,Central
CUST-00087,Emerson Harris,Corporate,San Diego,CA,West
CUST-00088,Amelia Robinson,Corporate,Spokane,WA,West
CUST-00089,Mia Taylor,Corporate,Boulder,CO,West
CUST-00090,Aiden Scott,Corporate,Minneapolis,MN,Central
CUST-00091,David Smith,Consumer,Pittsburgh,PA,East
CUST-00092,James Campbell,Consumer,San Diego,CA,West
CUST-00093,Parker Baker,Consumer,Los Angeles,CA,West
CUST-00094,Matthew Wright,Home Office,Houston,TX,Central
CUST-00095,Grace Moore,Corporate,Los Angeles,CA,West
CUST-00096,Chloe Adams,Consumer,St. Paul,MN,Central
CUST-00097,Peyton Davis,Consumer,Dallas,TX,Central
