order_id,order_date,ship_date,customer_id,customer_name,segment,city,state,region,product_id,product_name,category,subcategory,quantity,unit_price,discount,sales,cost,profit,shipping_mode,sales_channel,payment_type,returned_flag,account_manager,month,quarter,year
ORD-202403-01567,2024-03-25,2024-04-02,CUST-06419,Lucas Clark,Home Office,Los Angeles,CA,West,OFF-PA-1003,Color Presentation Paper,Office Supplies,Paper,4,24.05,0.07,89.47,52.0,37.47,Standard Class,Online,PayPal,No,Skyler Adams,Mar,Q1,2024
ORD-202403-00761,2024-03-08,2024-03-16,CUST-07049,Isabella Brown,Consumer,Atlanta,GA,South,TEC-MA-1001,Monochrome Laser Printer,Technology,Machines,2,276.51,0.12,486.66,380.0,106.66,Standard Class,Wholesale,Bank Transfer,No,Morgan Lee,Mar,Q1,2024
ORD-202403-01068,2024-03-22,2024-03-26,CUST-03860,Dakota Sanchez,Corporate,Denver,CO,West,FUR-CH-1002,Executive Leather Chair,Furniture,Chairs,1,323.22,0.1,290.9,205.0,85.9,Standard Class,Online,Credit Card,No,Dakota Rivera,Mar,Q1,2024
ORD-202403-00061,2024-03-09,2024-03-10,CUST-03168,Gabriel Phillips,Consumer,Philadelphia,PA,East,OFF-AR-1003,Creative Desk Organizer Tray,Office Supplies,Art,4,10.11,0.12,35.59,20.0,15.59,First Class,Marketplace,Credit Card,No,Avery Brooks,Mar,Q1,2024
ORD-202403-00836,2024-03-26,2024-03-30,CUST-10837,Liam Adams,Consumer,Houston,TX,Central,FUR-ST-1001,5-Shelf Steel Storage Rack,Furniture,Storage,1,161.52,0.09,146.98,102.0,44.98,Second Class,Online,PayPal,No,Riley Chen,Mar,Q1,2024
ORD-202403-00516,2024-03-23,2024-03-28,CUST-11430,Henry Gonzalez,Consumer,Minneapolis,MN,Central,TEC-MA-1001,Monochrome Laser Printer,Technology,Machines,1,263.34,0.11,234.37,190.0,44.37,Second Class,Marketplace,PayPal,No,Taylor Nguyen,Mar,Q1,2024
ORD-202403-01897,2024-03-29,2024-04-01,CUST-04835,Olivia Sanchez,Home Office,Dallas,TX,Central,OFF-BI-1001,3-Ring Binder Set,Office Supplies,Binders,1,12.13,0.07,11.28,5.0,6.28,First Class,Online,PayPal,No,Parker James,Mar,Q1,2024
ORD-202403-00564,2024-03-15,2024-03-23,CUST-04338,Jamie Anderson,Consumer,Boulder,CO,West,TEC-PH-1002,VoIP Conference Phone,Technology,Phones,2,258.33,0.06,485.66,332.0,-279.66,Standard Class,Online,Debit Card,Yes,Skyler Adams,Mar,Q1,2024
ORD-202403-01777,2024-03-05,2024-03-09,CUST-00504,Blake Jones,Corporate,Sacramento,CA,West,TEC-MA-1001,Monochrome Laser Printer,Technology,Machines,1,244.04,0.12,214.76,190.0,24.76,Second Class,Wholesale,Bank Transfer,No,Quinn Foster,Mar,Q1,2024
ORD-202403-01349,2024-03-25,2024-04-02,CUST-07623,Drew Anderson,Consumer,Miami,FL,South,OFF-AP-1001,Office Microwave,Office Supplies,Appliances,1,109.96,0.1,98.96,77.0,21.96,Standard Class,Wholesale,Credit Card,No,Quinn Foster,Mar,Q1,2024
